var,lead,season_year,season,p_abaixo,p_normal,p_acima,obs_cat
precipitacao,3,1980,JFM,0.2776,0.3209,0.4015,0
precipitacao,3,1981,JFM,0.4139,0.2290,0.3571,2
precipitacao,3,1982,JFM,0.4646,0.2069,0.3285,2
precipitacao,3,1983,JFM,0.3032,0.4527,0.2440,2
precipitacao,3,1984,JFM,0.2914,0.2632,0.4454,0
precipitacao,3,1985,JFM,0.3629,0.2313,0.4058,1
precipitacao,3,1986,JFM,0.3210,0.2611,0.4179,2
precipitacao,3,1987,JFM,0.2883,0.3613,0.3504,0
precipitacao,3,1988,JFM,0.2846,0.4064,0.3090,1
precipitacao,3,1989,JFM,0.4791,0.1818,0.3391,2
precipitacao,3,1990,JFM,0.3258,0.2957,0.3785,0
precipitacao,3,1991,JFM,0.3138,0.3405,0.3457,2
precipitacao,3,1992,JFM,0.3836,0.2653,0.3511,1
precipitacao,3,1993,JFM,0.4004,0.1905,0.4091,1
precipitacao,3,1994,JFM,0.2587,0.3734,0.3679,0
precipitacao,3,1995,JFM,0.3519,0.3724,0.2757,2
precipitacao,3,1996,JFM,0.3759,0.2553,0.3688,2
precipitacao,3,1997,JFM,0.3298,0.3101,0.3601,0
precipitacao,3,1998,JFM,0.2733,0.4688,0.2580,1
precipitacao,3,1999,JFM,0.3542,0.2334,0.4124,2
precipitacao,3,2000,JFM,0.3484,0.2482,0.4033,2
precipitacao,3,2001,JFM,0.3833,0.2642,0.3525,0
precipitacao,3,2002,JFM,0.2964,0.3183,0.3853,1
precipitacao,3,2003,JFM,0.3735,0.3492,0.2773,0
precipitacao,3,2004,JFM,0.3195,0.3632,0.3174,1
precipitacao,3,2005,JFM,0.3125,0.3890,0.2984,1
precipitacao,3,2006,JFM,0.3093,0.3430,0.3476,0
precipitacao,3,2007,JFM,0.3588,0.3455,0.2957,0
precipitacao,3,2008,JFM,0.3581,0.2619,0.3800,0
precipitacao,3,2009,JFM,0.3012,0.3432,0.3556,1
precipitacao,3,2010,JFM,0.3175,0.4176,0.2649,2
precipitacao,3,2011,JFM,0.3368,0.2836,0.3796,2
precipitacao,3,2012,JFM,0.3914,0.2693,0.3393,0
precipitacao,3,2013,JFM,0.3276,0.3608,0.3116,1
precipitacao,3,2014,JFM,0.3932,0.3073,0.2995,0
precipitacao,3,2015,JFM,0.3459,0.3673,0.2868,1
precipitacao,3,2016,JFM,0.2328,0.5494,0.2178,1
precipitacao,3,2017,JFM,0.3256,0.3378,0.3366,1
precipitacao,3,2018,JFM,0.3093,0.3688,0.3218,0
precipitacao,3,2019,JFM,0.2728,0.4890,0.2382,2
precipitacao,3,2020,JFM,0.3495,0.4250,0.2255,2
precipitacao,3,2021,JFM,0.3237,0.3403,0.3361,0
precipitacao,3,2022,JFM,0.3190,0.3550,0.3260,1
precipitacao,3,2023,JFM,0.3181,0.3840,0.2979,2
precipitacao,3,2024,JFM,0.2712,0.5072,0.2216,0
precipitacao,3,2025,JFM,0.3932,0.3307,0.2761,1
precipitacao,3,1980,FMA,0.2804,0.2536,0.4659,1
precipitacao,3,1981,FMA,0.3531,0.2314,0.4155,0
precipitacao,3,1982,FMA,0.3216,0.2847,0.3936,2
