year,month,precip,temp
1940,1,340.3,21.52
1940,2,322.7,20.3517
1940,3,195.2,21.1581
1940,4,62.4,20.5333
1940,5,46.0,18.9516
1940,6,11.4,17.7633
1940,7,12.4,18.3774
1940,8,23.2,18.2677
1940,9,52.5,18.64
1940,10,213.2,18.5258
1940,11,228.7,19.5367
1940,12,258.4,22.3226
1941,1,235.8,22.4452
1941,2,341.2,21.8
1941,3,342.8,20.6484
1941,4,192.5,20.96
1941,5,76.9,18.6355
1941,6,85.2,15.6667
1941,7,132.4,15.7903
1941,8,57.4,18.5129
1941,9,130.2,15.92
1941,10,152.2,19.3032
1941,11,241.3,20.9033
1941,12,383.2,20.7903
1942,1,244.8,21.2161
1942,2,109.9,21.9321
1942,3,158.2,21.7516
1942,4,69.9,19.1467
1942,5,161.3,16.8097
1942,6,106.4,14.34
1942,7,12.0,13.9387
1942,8,28.5,15.4677
1942,9,3.2,18.8967
1942,10,94.4,20.7065
1942,11,73.1,21.61
1942,12,119.9,20.3323
1943,1,122.1,21.0839
1943,2,114.4,21.2179
1943,3,115.2,20.6871
1943,4,68.8,17.7933
1943,5,84.9,17.371
1943,6,87.4,16.14
1943,7,50.7,15.1548
1943,8,93.9,14.8484
1943,9,61.6,17.34
1943,10,85.9,18.8774
1943,11,103.8,19.7933
1943,12,121.4,20.2387
1944,1,266.5,21.2581
1944,2,238.8,21.0621
1944,3,126.0,21.1677
1944,4,26.0,18.55
1944,5,8.5,18.6968
1944,6,53.9,17.1233
1944,7,12.5,16.2839
1944,8,10.1,18.9032
1944,9,20.8,21.5133
1944,10,230.5,20.4742
1944,11,137.8,19.45
1944,12,281.9,20.0355
1945,1,312.3,19.9903
1945,2,232.4,22.0179
1945,3,210.3,20.4903
1945,4,186.3,19.5133
1945,5,47.7,17.1613
1945,6,42.3,16.24
1945,7,96.0,16.929
1945,8,35.3,19.0645
1945,9,117.4,19.16
1945,10,209.6,20.2452
1945,11,388.1,19.8633
1945,12,524.7,20.0645
1946,1,322.1,22.2548
1946,2,242.0,22.2
1946,3,317.8,21.4581
1946,4,47.8,19.1933
1946,5,133.7,17.6677
1946,6,63.4,16.0433
1946,7,124.0,15.9161
1946,8,101.6,17.2258
1946,9,89.9,19.2433
1946,10,144.5,20.129
1946,11,134.8,21.2067
1946,12,298.9,21.2645
1947,1,223.7,23.5419
1947,2,298.6,21.7429
1947,3,269.7,19.3129
1947,4,84.3,19.7933
1947,5,106.7,17.8677
1947,6,52.8,17.3667
1947,7,76.3,15.1548
1947,8,88.9,16.5419
1947,9,60.8,17.11
1947,10,182.9,17.4613
1947,11,124.8,17.5067
1947,12,369.2,19.3839
1948,1,159.2,22.6968
1948,2,310.7,21.9759
1948,3,120.8,19.7839
1948,4,26.4,19.79
1948,5,122.7,17.1613
1948,6,30.1,16.0233
1948,7,40.0,17.2194
1948,8,22.4,16.8516
1948,9,17.4,19.8633
1948,10,193.0,18.2968
1948,11,188.9,19.8133
1948,12,153.6,21.4581
1949,1,269.1,21.4226
1949,2,229.6,21.0786
1949,3,189.0,21.5548
1949,4,58.7,18.5767
1949,5,64.2,17.4774
1949,6,124.3,16.9167
1949,7,5.9,16.1774
1949,8,84.5,17.1613
1949,9,223.9,17.2133
1949,10,124.7,18.6129
1949,11,132.0,18.1567
1949,12,512.8,19.7484
1950,1,329.2,21.229
1950,2,232.4,21.5929
1950,3,246.9,19.9516
1950,4,102.0,19.06
1950,5,69.1,18.4323
1950,6,70.9,16.4267
1950,7,40.5,15.8129
1950,8,7.7,17.8484
1950,9,84.4,18.09
1950,10,146.1,17.6581
1950,11,206.8,18.54
1950,12,246.5,21.329
1951,1,174.6,21.8774
1951,2,250.1,21.9786
1951,3,179.0,20.5774
1951,4,133.6,17.6167
1951,5,18.0,17.3194
1951,6,20.9,16.3067
1951,7,17.4,15.7516
1951,8,19.2,15.1806
1951,9,92.8,18.0167
1951,10,137.6,19.2065
1951,11,136.0,21.4333
1951,12,177.6,19.4129
1952,1,196.1,21.3774
1952,2,208.3,21.4069
1952,3,144.0,20.8387
1952,4,111.0,17.8567
1952,5,5.4,16.9839
1952,6,66.2,15.9233
1952,7,43.4,15.4935
1952,8,27.7,18.6839
1952,9,46.0,18.0833
1952,10,231.5,19.3387
1952,11,90.5,19.0067
1952,12,124.4,20.4387
1953,1,149.9,22.7968
1953,2,178.0,21.1536
1953,3,164.3,21.1548
1953,4,115.6,18.85
1953,5,37.3,17.1774
1953,6,11.5,16.2467
1953,7,8.8,15.4871
1953,8,16.0,18.1806
1953,9,119.5,19.09
1953,10,246.7,19.5935
1953,11,132.2,19.6167
1953,12,195.9,20.0097
1954,1,204.4,23.0516
1954,2,335.0,22.7286
1954,3,197.4,21.0387
1954,4,13.6,18.7933
1954,5,177.4,17.6129
1954,6,43.4,16.7833
1954,7,68.4,15.8903
1954,8,29.4,18.2065
1954,9,69.8,20.26
1954,10,143.6,19.2806
1954,11,110.3,19.93
1954,12,246.4,20.7
1955,1,189.8,20.6806
1955,2,115.1,23.2464
1955,3,119.9,22.0871
1955,4,124.8,19.23
1955,5,46.8,16.9452
1955,6,49.7,16.5367
1955,7,76.0,15.2194
1955,8,22.4,17.8935
1955,9,8.0,19.5633
1955,10,99.0,18.2935
1955,11,143.9,18.82
1955,12,262.8,21.9032
1956,1,104.9,24.2903
1956,2,140.6,22.2103
1956,3,168.8,20.871
1956,4,93.1,19.03
1956,5,149.9,15.8935
1956,6,100.6,14.29
1956,7,49.6,15.1355
1956,8,33.4,15.2774
1956,9,63.0,18.6767
1956,10,121.7,19.1258
1956,11,62.0,17.59
1956,12,184.2,20.1129
1957,1,242.3,21.9097
1957,2,197.4,20.8893
1957,3,143.0,20.9774
1957,4,117.4,18.55
1957,5,18.7,17.2387
1957,6,41.7,16.8733
1957,7,183.3,14.9935
1957,8,101.7,16.6968
1957,9,155.7,17.59
1957,10,140.4,19.8613
1957,11,210.0,19.73
1957,12,206.7,21.5226
1958,1,300.7,22.8452
1958,2,253.4,22.4857
1958,3,135.8,20.5968
1958,4,139.9,18.5767
1958,5,177.1,16.7484
1958,6,30.4,15.69
1958,7,38.8,16.4581
1958,8,12.5,18.4613
1958,9,180.3,18.0533
1958,10,180.8,19.3968
1958,11,95.4,21.47
1958,12,127.6,22.0097
1959,1,357.7,22.0194
1959,2,119.1,23.0536
1959,3,183.4,20.2323
1959,4,67.9,21.4233
1959,5,67.3,17.7613
1959,6,31.3,15.9733
1959,7,4.3,18.429
1959,8,76.5,17.8839
1959,9,12.4,20.17
1959,10,79.3,20.7871
1959,11,186.2,20.1067
1959,12,176.0,20.8677
1960,1,151.0,21.3613
1960,2,176.7,20.0414
1960,3,138.2,20.4161
1960,4,99.4,18.8267
1960,5,122.0,15.2903
1960,6,44.3,15.67
1960,7,4.3,15.5516
1960,8,40.3,17.3548
1960,9,147.6,19.46
1960,10,170.9,21.871
1960,11,217.8,20.1333
1960,12,258.5,21.3419
1961,1,128.0,21.8387
1961,2,228.0,22.0714
1961,3,165.5,21.4355
1961,4,77.1,20.7467
1961,5,50.8,18.8581
1961,6,32.0,17.46
1961,7,16.2,17.6355
1961,8,1.7,20.3194
1961,9,11.3,23.7967
1961,10,59.4,23.4774
1961,11,230.6,21.1233
1961,12,230.3,21.2419
1962,1,306.8,20.7613
1962,2,286.3,20.7679
1962,3,303.5,21.0677
1962,4,132.8,19.18
1962,5,57.1,16.371
1962,6,33.4,14.47
1962,7,47.2,14.3129
1962,8,56.0,16.7484
1962,9,66.1,18.2867
1962,10,149.6,17.2097
1962,11,87.6,19.2767
1962,12,295.6,20.2387
1963,1,271.9,22.2871
1963,2,236.1,21.1071
1963,3,163.6,21.929
1963,4,25.6,19.1933
1963,5,15.5,17.2968
1963,6,33.7,16.3433
1963,7,11.9,17.3935
1963,8,14.9,18.8742
1963,9,47.7,22.0967
1963,10,115.1,21.0
1963,11,172.8,21.7
1963,12,170.5,20.6613
1964,1,121.9,20.571
1964,2,315.4,21.331
1964,3,137.0,20.7
1964,4,98.6,19.9833
1964,5,51.3,17.1516
1964,6,66.0,15.53
1964,7,97.5,13.6645
1964,8,44.1,16.9161
1964,9,84.8,18.9567
1964,10,237.8,18.1258
1964,11,122.0,18.07
1964,12,233.1,19.6226
1965,1,288.4,20.7484
1965,2,261.5,21.2179
1965,3,177.8,19.8742
1965,4,73.3,19.7433
1965,5,88.7,17.5387
1965,6,29.8,17.5667
1965,7,81.3,15.4935
1965,8,12.8,18.5613
1965,9,58.4,20.67
1965,10,189.9,19.5129
1965,11,168.5,20.2667
1965,12,316.9,21.8484
1966,1,351.6,22.3774
1966,2,229.4,23.1036
1966,3,164.4,21.6871
1966,4,65.0,19.8267
1966,5,57.4,17.9419
1966,6,5.6,17.5067
1966,7,60.0,16.6903
1966,8,79.0,15.9226
1966,9,62.5,17.7433
1966,10,232.6,18.771
1966,11,148.9,19.29
1966,12,341.6,21.2677
1967,1,206.8,21.4839
